Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
257872_at	ABCB16, PGP16		3, 3	-10611024	AT3G28360	822465	11346655, 11855639, 15381434, 17164256, 18299247, 20736450	GO:0005886: plasma membrane, GO:0010048: vernalization response, GO:0010315: auxin efflux, GO:0010540: basipetal auxin transport, GO:0010541: acropetal auxin transport, GO:0016021: integral component of membrane, GO:0042626: ATPase activity, coupled to transmembrane movement of substances, GO:0042626: ATPase activity, coupled to transmembrane movement of substances, GO:0043481: anthocyanin accumulation in tissues in response to UV light, GO:0045893: positive regulation of transcription, DNA-templated, GO:0048440: carpel development, GO:0055085: transmembrane transport	
263615_at	AtMYB100, MYB100	Encodes a putative transcription factor (MYB100)., Encodes a putative transcription factor (MYB100).	2, 2	-10747211	AT2G25230	817061	11118137, 11597504, 15239831	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated	
255252_at			4	2555090	AT4G04990	825841		GO:0003674: molecular_function, GO:0008150: biological_process	
249402_at		Encodes a defensin-like (DEFL) family protein.	5	16061891	AT5G40155	834013	18775970	GO:0003674: molecular_function, GO:0005576: extracellular region	
267395_at			2	18293457	AT2G44250	819033	20736450	GO:0003674: molecular_function, GO:0005576: extracellular region, GO:0008150: biological_process	
253682_at			4	14525830	AT4G29640	829085		GO:0004126: cytidine deaminase activity, GO:0005575: cellular_component, GO:0009972: cytidine deamination	
266681_at									
257438_at		Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the lipid transfer protein (PR-14) family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.	2	-6669654	AT2G15325	816022	18291034, 18674922	GO:0005576: extracellular region, GO:0006869: lipid transport, GO:0008289: lipid binding, GO:0045893: positive regulation of transcription, DNA-templated	
256550_at									
260694_at	IDH-IV	Predicted to encode a protein related isocitrate dehydrogenases, but it appears to be missing the sequences encoding the  N-terminal portion of the protein.	1	11741083	AT1G32480	840142	16527867	GO:0005737: cytoplasm, GO:0008152: metabolic process, GO:0016491: oxidoreductase activity	00020: Citrate cycle (TCA cycle), 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
266339_s_at								GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
255747_s_at								GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
258169_at			3	-7604551	AT3G21590	821713		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
250048_s_at								GO:0005524: ATP binding, GO:0005886: plasma membrane, GO:0016887: ATPase activity	
263043_at			1	-8293595	AT1G23350	838944	18775970	GO:0009507: chloroplast, GO:0009860: pollen tube growth, GO:0030048: actin filament-based movement, GO:0046910: pectinesterase inhibitor activity	
263858_at			2	-1523763	AT2G04370			GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
263188_at			1	-13491370	AT1G36095	840514		GO:0005634: nucleus, GO:0008150: biological_process	
265568_s_at									
261778_at			1	-28597530	AT1G76220	843955	14576160	GO:0003674: molecular_function, GO:0008150: biological_process	
255612_at			4	-517795	AT4G01240	827909		GO:0005634: nucleus	
251540_at	CSY1	Encodes a peroxisomal citrate synthase that is expressed in siliques and developing seeds.	3	-21720773	AT3G58740	825043	14701923, 15923350, 16553896, 16776300, 18952862, 20118269	GO:0004108: citrate (Si)-synthase activity, GO:0005777: peroxisome, GO:0006099: tricarboxylic acid cycle, GO:0019243: methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione, GO:0045893: positive regulation of transcription, DNA-templated	00020: Citrate cycle (TCA cycle), 00630: Glyoxylate and dicarboxylate metabolism, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
263453_at			2	9428743	AT2G22180	816752	18775970	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process, GO:0009827: plant-type cell wall modification, GO:0009860: pollen tube growth	
249981_at			5	-6141778	AT5G18510	831969	18667720, 18775970	GO:0005634: nucleus, GO:0008150: biological_process	
256604_at									
252356_at									
263468_at			2	13577555	AT2G31930	817751	18723362	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0010413: glucuronoxylan metabolic process, GO:0045492: xylan biosynthetic process	
256708_at			3	11931287	AT3G30320	822732		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
257796_at			3	5387444	AT3G15930	820836		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
265621_at	ANAC040, NTL8		2, 2	-11680417	AT2G27300	817273	11118137, 15029955, 17098812, 17410378, 19704545	GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005886: plasma membrane, GO:0007275: multicellular organism development, GO:0009640: photomorphogenesis, GO:0009651: response to salt stress, GO:0009793: embryo development ending in seed dormancy, GO:0009845: seed germination, GO:0009845: seed germination, GO:0009909: regulation of flower development, GO:0009933: meristem structural organization, GO:0010162: seed dormancy process, GO:0010182: sugar mediated signaling pathway, GO:0010228: vegetative to reproductive phase transition of meristem, GO:0016114: terpenoid biosynthetic process, GO:0016567: protein ubiquitination, GO:0019915: lipid storage, GO:0050826: response to freezing	
252702_at									
246915_at	ATNADP-ME3, NADP-ME3	The malic enzyme (EC 1.1.1.40) encoded by the ATNADP-ME3 is presumably cytosolic and restricted in its expression by both developmental and cell-specific signals., The malic enzyme (EC 1.1.1.40) encoded by the ATNADP-ME3 is presumably cytosolic and restricted in its expression by both developmental and cell-specific signals.	5, 5	9024549	AT5G25880	832657	12368493, 12912986, 16113210, 16247729, 16242667, 19725876	GO:0004470: malic enzyme activity, GO:0004473: malate dehydrogenase (decarboxylating) (NADP+) activity, GO:0005829: cytosol, GO:0006094: gluconeogenesis, GO:0006108: malate metabolic process, GO:0006108: malate metabolic process, GO:0007010: cytoskeleton organization, GO:0009507: chloroplast, GO:0009827: plant-type cell wall modification, GO:0009860: pollen tube growth, GO:0010498: proteasomal protein catabolic process, GO:0016652: oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor, GO:0051260: protein homooligomerization	00620: Pyruvate metabolism, 00710: Carbon fixation in photosynthetic organisms, 01100: Metabolic pathways
250551_at	ATSNAP29, SNAP29	member of mammalian SNAP25 Gene Family, a type of SNARE proteins with two chains. There are three members in Arabidopsis: SNAP30, SNAP29, and SNAP33., member of mammalian SNAP25 Gene Family, a type of SNARE proteins with two chains. There are three members in Arabidopsis: SNAP30, SNAP29, and SNAP33.	5, 5	-2515587	AT5G07880	830681	11115874, 15342965	GO:0005484: SNAP receptor activity, GO:0005634: nucleus, GO:0016192: vesicle-mediated transport, GO:0016192: vesicle-mediated transport	04130: SNARE interactions in vesicular transport
265600_at									
264867_at	ATFH4, FH4	Encodes a group I formin. Localized to cell junctions. Polymerizes actin. Binds profilin., Encodes a group I formin. Localized to cell junctions. Polymerizes actin. Binds profilin.	1, 1	8549518	AT1G24150	839028	12417149, 14576160, 15256004, 15634198, 17227549, 18650403, 20332108, 20736450	GO:0003779: actin binding, GO:0005515: protein binding, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0005911: cell-cell junction, GO:0009627: systemic acquired resistance, GO:0009697: salicylic acid biosynthetic process, GO:0030041: actin filament polymerization	
245135_at									
255608_at			4	-490749	AT4G01140	828157	17061125	GO:0003674: molecular_function, GO:0008150: biological_process	
261284_at									
256531_at			1	12081009	AT1G33320	840226	16244144, 16539601, 17030798, 17189325, 17720756, 18375600	GO:0003962: cystathionine gamma-synthase activity, GO:0005737: cytoplasm, GO:0009086: methionine biosynthetic process	00270: Cysteine and methionine metabolism, 00450: Selenocompound metabolism, 00920: Sulfur metabolism, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
263969_at	UNE4		2	5317475	AT2G12940	815775	11118137, 15634699, 16864593, 16934950	GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0009410: response to xenobiotic stimulus, GO:0009567: double fertilization forming a zygote and endosperm, GO:0030968: endoplasmic reticulum unfolded protein response	
261567_at			1	-11971308	AT1G33055	840201	15546358, 16081496, 16258011, 16766693, 18305208, 20097791	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0009061: anaerobic respiration, GO:0009061: anaerobic respiration, GO:0009855: determination of bilateral symmetry, GO:0009944: polarity specification of adaxial/abaxial axis, GO:0010014: meristem initiation, GO:0010075: regulation of meristem growth	
258199_at			3	-4646272	AT3G14030	820617		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
246692_at									
248365_at			5	21301525	AT5G52500	835326		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
254908_at									
255391_at									
266753_at	IAA20	Encodes a member of the Aux/IAA family of proteins implicated in auxin signaling. IAA20 lacks the conserved degron (domain II) found in many family members, and IAA20 fusion proteins are stable in Arabidopsis seedlings. IAA20 transcripts are induced by auxin treatment, and overexpression of IAA20 leads to defects in gravitropism, root development, root meristem maintenance, etiolation, and cotyledon vascular development.	2	19307855	AT2G46990	819313	11118137, 12036262, 14576160, 15078335, 15247399, 15937229, 16243906, 16299182, 16412086, 16489122, 17056621, 18298415, 18287490, 19704497, 21223392	GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0009630: gravitropism, GO:0009647: skotomorphogenesis, GO:0009733: response to auxin, GO:0009733: response to auxin, GO:0010588: cotyledon vascular tissue pattern formation, GO:0048364: root development	
267131_at			2	-9963978	AT2G23400	816872	10908715, 18612099, 21419101	GO:0019408: dolichol biosynthetic process, GO:0019408: dolichol biosynthetic process, GO:0045547: dehydrodolichyl diphosphate synthase activity	00900: Terpenoid backbone biosynthesis, 01110: Biosynthesis of secondary metabolites
257492_at	ARR19, RR19	member of Response Regulator: B- Type, member of Response Regulator: B- Type	1, 1	18191342, 18191267	AT1G49190	841342	11118137, 11574878, 12068096, 12610214, 12972049, 14623097, 15078335, 16212609, 16489130, 18180456, 18923020	GO:0000156: phosphorelay response regulator activity, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0009736: cytokinin-activated signaling pathway, GO:0009736: cytokinin-activated signaling pathway	04075: Plant hormone signal transduction
266937_at			2	8198778	AT2G18930			GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
246698_at									
262012_s_at								GO:0005576: extracellular region, GO:0008233: peptidase activity, GO:0008270: zinc ion binding	
265971_at									
265956_at									
251587_at			3	-21510306	AT3G58080			GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
247661_at			5	-24193181	AT5G60080	836130	20226671	GO:0005886: plasma membrane, GO:0016301: kinase activity	
261217_at	UBP11		1	11902629	AT1G32850	840179	18485060, 18667720, 18775970	GO:0004197: cysteine-type endopeptidase activity, GO:0005634: nucleus, GO:0006511: ubiquitin-dependent protein catabolic process	
249586_at			5	-15062008	AT5G37840	833762		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
245998_at	ASUS1, atsus1, SUS1	Encodes a protein with sucrose synthase activity (SUS1)., Encodes a protein with sucrose synthase activity (SUS1)., Encodes a protein with sucrose synthase activity (SUS1).	5, 5, 5	-7050226, -7050226	AT5G20830	832206	10567234, 8220487, 11171080, 14739263, 16212609, 17257168, 17499718, 18650403, 19470642, 21265895, 21865170, 22184213, 22751299, 22899048, 23159939	GO:0001666: response to hypoxia, GO:0001666: response to hypoxia, GO:0005829: cytosol, GO:0005986: sucrose biosynthetic process, GO:0006970: response to osmotic stress, GO:0008194: UDP-glycosyltransferase activity, GO:0009409: response to cold, GO:0009413: response to flooding, GO:0009414: response to water deprivation, GO:0009506: plasmodesma, GO:0009744: response to sucrose, GO:0009749: response to glucose, GO:0009862: systemic acquired resistance, salicylic acid mediated signaling pathway, GO:0010310: regulation of hydrogen peroxide metabolic process, GO:0010555: response to mannitol, GO:0016157: sucrose synthase activity, GO:0016157: sucrose synthase activity, GO:0016157: sucrose synthase activity, GO:0019375: galactolipid biosynthetic process, GO:0046686: response to cadmium ion, GO:0072708: response to sorbitol	00500: Starch and sucrose metabolism, 01100: Metabolic pathways
253683_at			4	14528587	AT4G29650	829086		GO:0004126: cytidine deaminase activity, GO:0005575: cellular_component, GO:0008655: pyrimidine-containing compound salvage	
265969_at									
245257_at	AtCML8, CAM8, CML8	encodes a divergent member of calmodulin, which is an EF-hand family of Ca2+-binding proteins. This gene is expressed in leaves, flowers and siliques. The gene functionally complements yeast calmodulin 1 (CAM1). Also the protein does not form formed a complex with a basic amphiphilic helical peptide in the presence of Ca2+ in vitro. Authors suggest that this gene may represent a Ca2+-binding sensor protein that interacts with a more limited set of target proteins than do more conventional CaM isoforms., encodes a divergent member of calmodulin, which is an EF-hand family of Ca2+-binding proteins. This gene is expressed in leaves, flowers and siliques. The gene functionally complements yeast calmodulin 1 (CAM1). Also the protein does not form formed a complex with a basic amphiphilic helical peptide in the presence of Ca2+ in vitro. Authors suggest that this gene may represent a Ca2+-binding sensor protein that interacts with a more limited set of target proteins than do more conventional CaM isoforms., encodes a divergent member of calmodulin, which is an EF-hand family of Ca2+-binding proteins. This gene is expressed in leaves, flowers and siliques. The gene functionally complements yeast calmodulin 1 (CAM1). Also the protein does not form formed a complex with a basic amphiphilic helical peptide in the presence of Ca2+ in vitro. Authors suggest that this gene may represent a Ca2+-binding sensor protein that interacts with a more limited set of target proteins than do more conventional CaM isoforms.	4, 4, 4	8397712	AT4G14640	827114	11855649, 12372144, 12045290, 14557048, 15047898, 15276435, 15720654, 16023399, 17786563, 18650403, 20627089, 20820784, 22309147	GO:0005509: calcium ion binding, GO:0005513: detection of calcium ion, GO:0005634: nucleus, GO:0009612: response to mechanical stimulus, GO:0019722: calcium-mediated signaling, GO:0019722: calcium-mediated signaling, GO:0030048: actin filament-based movement, GO:0051645: Golgi localization, GO:0051646: mitochondrion localization, GO:0060151: peroxisome localization	04626: Plant-pathogen interaction
258278_at			3	-9901516, -9901516	AT3G26860	822302	15100403, 18775970	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009507: chloroplast	
256495_at			1	-11281188	AT1G31530	840043	15342526, 17559508	GO:0005575: cellular_component, GO:0016787: hydrolase activity	
262547_at			1	11178349	AT1G31270	840015		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
250838_at	CYP77A9	member of CYP77A	5	1330578	AT5G04630	830340	14690501, 16258015, 20226671	GO:0005576: extracellular region, GO:0019825: oxygen binding	00903: Limonene and pinene degradation, 00945: Stilbenoid, diarylheptanoid and gingerol biosynthesis, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
248325_at									
264714_at			1	-26360235	AT1G69990	843336	12972053	GO:0004674: protein serine/threonine kinase activity, GO:0005524: ATP binding, GO:0006468: protein phosphorylation, GO:0007169: transmembrane receptor protein tyrosine kinase signaling pathway, GO:0016301: kinase activity	
258711_at	UBQ8	encodes a ubiquitin-like protein that contains tandem repeats of the ubiquitin coding region, but at least one repeat per gene encodes a protein with amino acid substitutions.	3	-3003862	AT3G09790	820137	7713442, 8382544, 11590065, 15276459, 15539469, 16571618, 18633119, 20736450	GO:0005618: cell wall, GO:0005622: intracellular, GO:0005773: vacuole, GO:0006464: cellular protein modification process, GO:0006511: ubiquitin-dependent protein catabolic process	
264081_at			2	12218083, 12218045	AT2G28540	817402	14576160, 15069083, 18775970	GO:0005634: nucleus	
252458_at			3	17385313	AT3G47210	823874	18650403	GO:0000041: transition metal ion transport, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0008150: biological_process, GO:0009691: cytokinin biosynthetic process	
248355_at	ATEXO70A2, EXO70A2	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree., A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.	5, 5	21250802	AT5G52340	835310	16942608, 18775970, 20943851	GO:0000145: exocyst, GO:0006904: vesicle docking involved in exocytosis	
257289_at			3	-11540770	AT3G29690	822647		GO:0005575: cellular_component	
257779_at	CDG1	Receptor-like cytoplasmic kinase, RLCKVII subfamily. Overexpression causes abnormal differential and elongation growth after organ differentiation.	3	-9936582	AT3G26940	822312	14576160, 15466232, 20736450, 21855796, 22995285	GO:0004672: protein kinase activity, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0016301: kinase activity, GO:0040007: growth, GO:1900459: positive regulation of brassinosteroid mediated signaling pathway	
246176_at			5	10358373	AT5G28410	832927	14750516	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0009507: chloroplast	
256670_at									
260447_at			1	-27251696, -27251426	AT1G72410	843573		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0005886: plasma membrane, GO:0008150: biological_process	
256473_at									
255275_at			4	2714765	AT4G05310	825879	15659098	GO:0003674: molecular_function, GO:0005634: nucleus	
254518_at			4	-10795869	AT4G19910	2745716	11152613	GO:0004888: transmembrane signaling receptor activity, GO:0005737: cytoplasm, GO:0006952: defense response, GO:0016020: membrane	
263229_s_at								GO:0004650: polygalacturonase activity, GO:0005576: extracellular region, GO:0005975: carbohydrate metabolic process	
258019_at			3	6749524, 6749485	AT3G19470	821481	12407186	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
256006_at			1	12402283	AT1G34070	840305		GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
248194_at			5	-21952733	AT5G54095	835496	12912986, 18775970	GO:0003674: molecular_function	
254774_at			4	7810215	AT4G13440	826976	12372144	GO:0005509: calcium ion binding, GO:0005575: cellular_component, GO:0008150: biological_process	
254316_at									
265714_at	ATUPS4, UPS4	Encodes AtUPS4, a member of the Arabidopsis ureide permease family., Encodes AtUPS4, a member of the Arabidopsis ureide permease family.	2, 2	1069491	AT2G03520	814881	11971139, 16738859, 20736450	GO:0009507: chloroplast	
257781_at			3	-9999694	AT3G27120	822331		GO:0005737: cytoplasm, GO:0016887: ATPase activity	
249349_at	AtMYB24, MYB24	Myb24 transcription factor. Member of the R2R3 factor gene family. Induced by jasmonate. Involved in jasmonate response during stamen development. , Myb24 transcription factor. Member of the R2R3 factor gene family. Induced by jasmonate. Involved in jasmonate response during stamen development. 	5, 5	-16138544	AT5G40350	834033	11118137, 11597504, 15574398, 16463103, 16805732, 16920880, 19091873, 19325888, 20021553, 21447791, 22346763	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0009740: gibberellic acid mediated signaling pathway, GO:0009753: response to jasmonic acid, GO:0009867: jasmonic acid mediated signaling pathway, GO:0048443: stamen development, GO:0080086: stamen filament development	
263295_at	AGL44, ANR1	MADS box gene, transcription factor, MADS box gene, transcription factor	2, 2	6018558	AT2G14210	815907	10948265, 10938795, 9430595, 11118137, 12837945, 15667327, 16021502, 16339770, 16831523, 17148611, 17578866, 18266918, 18826430, 21852757, 22523192, 22589469	GO:0003677: DNA binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0007155: cell adhesion, GO:0007584: response to nutrient, GO:0008134: transcription factor binding, GO:0009556: microsporogenesis, GO:0009887: animal organ morphogenesis, GO:0009888: tissue development, GO:0010090: trichome morphogenesis, GO:0010167: response to nitrate, GO:0010413: glucuronoxylan metabolic process, GO:0010638: positive regulation of organelle organization, GO:0033044: regulation of chromosome organization, GO:0042546: cell wall biogenesis, GO:0044036: cell wall macromolecule metabolic process, GO:0045010: actin nucleation, GO:0045492: xylan biosynthetic process, GO:0048527: lateral root development, GO:0048527: lateral root development, GO:0048589: developmental growth, GO:0048765: root hair cell differentiation, GO:0052543: callose deposition in cell wall, GO:0071249: cellular response to nitrate, GO:0071555: cell wall organization	
264740_at			1	22943594	AT1G62070	842503	15694452, 20736450	GO:0003674: molecular_function, GO:0008150: biological_process, GO:0045893: positive regulation of transcription, DNA-templated	
256667_at			3	-13162413	AT3G32180	822985		GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process, GO:0048445: carpel morphogenesis	
254338_s_at								GO:0005576: extracellular region, GO:0016829: lyase activity, GO:0030570: pectate lyase activity	
253902_at	AT2S4, SESA4		4, 4	13613596	AT4G27170	828825	12417707, 14688293, 14682612, 15047898, 15144374, 16412086, 17059406, 17194767, 18441212, 18854047, 22162868	GO:0005576: extracellular region, GO:0006869: lipid transport, GO:0008289: lipid binding, GO:0045735: nutrient reservoir activity	
253315_at			4	-16251572	AT4G33900	829533	11516153	GO:0005634: nucleus	
267329_at									
266794_at	OTP85	Encodes a chloroplast RNA editing factor.	2	868359	AT2G02980	814827	14576160, 19934379, 20736450	GO:0005739: mitochondrion, GO:0009507: chloroplast, GO:0016556: mRNA modification, GO:0031425: chloroplast RNA processing	
245103_at			2	17343360	AT2G41590	818757	18775970	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0008150: biological_process	
250046_at			5	5845934	AT5G17720	831639	16415209	GO:0005737: cytoplasm, GO:0016787: hydrolase activity	
252111_at			3	19126358	AT3G51570	824320	14576160, 17432890, 17956627, 18545707	GO:0005737: cytoplasm, GO:0006952: defense response, GO:0016020: membrane	
249696_at									
258763_s_at								GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds, GO:0005576: extracellular region	
259578_at			1	-9752799	AT1G27990	839692	20736450	GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
248356_at	ATEXO70A3, EXO70A3	A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree., A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree.	5, 5	21254911	AT5G52350	835311	16942608, 20943851	GO:0000145: exocyst, GO:0005737: cytoplasm, GO:0006904: vesicle docking involved in exocytosis	
267107_at									
260765_at	ACT8, FIZ1	Member of a subclass of actins composed of ACT2 and ACT8. Its mRNA is strongly expressed in strongly expressed in leaves, roots, stems, flowers, pollen, and siliques. However, protein expression, assayed by a ACT8:GUS fusion reporter, is very low in pollen., Member of a subclass of actins composed of ACT2 and ACT8. Its mRNA is strongly expressed in strongly expressed in leaves, roots, stems, flowers, pollen, and siliques. However, protein expression, assayed by a ACT8:GUS fusion reporter, is very low in pollen.	1, 1	18215872	AT1G49240	841347	15914083, 16024587, 16113224, 16115070, 16299182, 16299172, 16299169, 16267099, 16564517, 16820983, 16778018, 16963437, 17053893, 17041031, 17028149, 17189332, 17337631, 17369439, 17368510, 17513484, 17568770, 17672843, 17885082, 17786563, 18156219, 18088304, 18223036, 18182375, 18178770, 18305204, 18252844, 18242769, 18400935, 18650403, 18822296, 18775970, 19017746, 19001564, 18984675, 19304937, 20047880, 20118269, 20862689, 21602290, 22589468, 22765383, 22995285, 23054470, 8758981, 12029478, 12805630, 12805628, 12969430, 14526118, 14623097, 15141064, 15208394, 15276459, 15258268, 15326282, 15618435, 15728341, 15548743, 15546359, 15539469	GO:0000902: cell morphogenesis, GO:0005200: structural constituent of cytoskeleton, GO:0005507: copper ion binding, GO:0005737: cytoplasm, GO:0005773: vacuole, GO:0005829: cytosol, GO:0005886: plasma membrane, GO:0006094: gluconeogenesis, GO:0006970: response to osmotic stress, GO:0007010: cytoskeleton organization, GO:0009506: plasmodesma, GO:0009507: chloroplast, GO:0009570: chloroplast stroma, GO:0009651: response to salt stress, GO:0009941: chloroplast envelope, GO:0010498: proteasomal protein catabolic process, GO:0016049: cell growth, GO:0046686: response to cadmium ion, GO:0048193: Golgi vesicle transport, GO:0048768: root hair cell tip growth	
249413_at	AtRABG1, RABG1		5, 5	-15864166	AT5G39620	833958	12644670	GO:0005525: GTP binding	
245447_at	DALL1, PLA-I{beta]2	Encodes a lipase that hydrolyzes phosphatidylcholine, glycolipids as well as triacylglycerols., Encodes a lipase that hydrolyzes phosphatidylcholine, glycolipids as well as triacylglycerols.	4, 4	9467563	AT4G16820	827388	12805597, 14576160, 15130548, 15235117, 15923325, 16510518, 18667720, 19527719, 20348210, 20855949, 22442409	GO:0004806: triglyceride lipase activity, GO:0004806: triglyceride lipase activity, GO:0006629: lipid metabolic process, GO:0008970: phospholipase A1 activity, GO:0009507: chloroplast, GO:0009507: chloroplast, GO:0009693: ethylene biosynthetic process, GO:0047714: galactolipase activity	
252260_at			3	-18342544	AT3G49480	824110	20736450	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0006863: purine nucleobase transport, GO:0008150: biological_process	
266274_at	HAI3		2	12608702	AT2G29380	817487	12970481, 15130549, 16339800, 17376162, 17461784, 18162593, 19021904, 19880399, 22829320	GO:0004722: protein serine/threonine phosphatase activity, GO:0005886: plasma membrane	04075: Plant hormone signal transduction
246637_at			5	13185521	AT5G34870	833422	14576160	GO:0003676: nucleic acid binding, GO:0005634: nucleus, GO:0008150: biological_process	
249371_at			5	16308356	AT5G40750	834075	20226671	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
255291_at									
255454_at			4	-1288486	AT4G02910	828141		GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
260121_at			1	12314904	AT1G33910	840288		GO:0005739: mitochondrion, GO:0009617: response to bacterium	
266250_at									
245504_at			4	8925806	AT4G15660	827243	15584951, 15807784, 16720602, 16648214, 17031546, 18055584, 18545667	GO:0005737: cytoplasm, GO:0008794: arsenate reductase (glutaredoxin) activity	
252071_at		DNA helicase homolog PIF1.	3	-19176374	AT3G51690	824332	12837951, 16169894	GO:0005634: nucleus	
253845_at			4	13921677	AT4G27980	828911	18775970	GO:0003674: molecular_function, GO:0005737: cytoplasm, GO:0008150: biological_process	
257466_at			1	23271416	AT1G62840	842584	18650403	GO:0003674: molecular_function, GO:0005575: cellular_component, GO:0008150: biological_process	
264503_at			1	3035443	AT1G09410	837463	15269332	GO:0005739: mitochondrion, GO:0008150: biological_process	
255099_at									
249603_at			5	-14729225	AT5G37210	833695		GO:0005575: cellular_component	
258659_at	ATB'	Encodes B' regulatory subunit of PP2A (AtB'beta).	3	3029511	AT3G09880	820146	9128737	GO:0000159: protein phosphatase type 2A complex, GO:0005634: nucleus, GO:0007165: signal transduction	03015: mRNA surveillance pathway
263968_s_at									
245554_at	CYP705A4	member of CYP705A	4	8788739	AT4G15380	827204	15148388	GO:0019825: oxygen binding	
265690_at			2	-10345421	AT2G24320	816968	12912986, 16895613, 18775970	GO:0005576: extracellular region, GO:0009860: pollen tube growth	
256886_at			3	-5097153	AT3G15130	820744		GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0008150: biological_process	
264216_at									
265498_at			2	-6856746	AT2G15740	816068	11118137, 14576160, 15236668, 18923020	GO:0003676: nucleic acid binding, GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated, GO:0008270: zinc ion binding	
257605_at			3	-4555305	AT3G13840	820596	11118137, 14760535, 15604690	GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0006355: regulation of transcription, DNA-templated	
245907_at			5	-2896675	AT5G09340	830793	14648238	GO:0003674: molecular_function, GO:0005737: cytoplasm	
256080_at			1	7174438	AT1G20690	838657	12169696, 16223710, 20736450		
